airline_sentiment,lat,long
positive,40.74804263, -73.99295302
negative,42.361016, -71.02000488
neutral,33.94540417, -118.4062472
negative,33.94209449, -118.40410103
positive,33.2145038, -96.9321504
neutral,34.0219817, -118.38591198
neutral,33.57963333, -117.73024772
negative,40.6413712, -73.78311558
positive,36.08457854, -115.13780136
neutral,37.79374402, -122.39327564
negative,26.074379, -80.1416831
positive,33.9469039, -118.40716847
negative,51.04345575, -114.06071363
neutral,40.64662464, -73.77090177
positive,33.94652852, -118.40766257
positive,38.9128188, -77.00798226
positive,32.84359605, -96.84910929
negative,32.8437698, -96.84928399
negative,26.06726717, -80.14433663
positive,32.8454782, -96.8504585
neutral,39.24087254, -94.63994975
positive,37.77465018, -122.44032176
neutral,33.94696831, -118.40747994
negative,40.63767372, -74.11075451
neutral,40.78986648, -73.10068286
positive,42.5696777, -71.42056878
neutral,37.80065252, -122.43857414
neutral,36.08546367, -115.31814055
negative,19.43706642, -99.07927123
positive,39.8621249, -104.6740909
negative,52.59657643, -2.19877833
neutral,29.98386923, -95.33729612
negative,29.98340611, -95.33682231
negative,29.98350019, -95.33675519
negative,29.98377529, -95.33756559
negative,29.98350283, -95.33678993
negative,29.98384925, -95.3374653
negative,29.98372726, -95.33734532
negative,29.98521945, -90.25215941
negative,29.98698389, -90.25081767
negative,29.98699328, -90.25081691
negative,29.98878092, -90.25836915
negative,29.9880285, -90.25781369
negative,29.987463, -90.25860012
negative,29.98746669, -90.25862007
positive,35.8057062, -78.7869445
negative,52.48854137, -1.91022836
negative,45.58711296, -122.58038932
positive,59.38247253, 18.00789007
negative,32.86680572, -80.01338439
neutral,41.9785651, -87.90833965
neutral,53.36729431, -2.27861694
negative,41.98202331, -87.90374263
neutral,37.7994546, -122.427629
negative,41.97777091, -87.90782014
negative,41.88298649, -87.63403627
neutral,35.8056542, -78.786848
negative,33.9411179, -118.3972405
negative,41.98191311, -87.80888924
negative,39.85862444, -104.6768992
positive,38.9470418, -77.4511456
negative,41.97758714, -87.91388554
positive,38.9470207, -77.4511745
negative,40.68545235, -74.18374208
neutral,51.3228181, 5.3576138
negative,26.07324041, -80.14510971
negative,40.69943599, -74.17868875
negative,26.07694041, -80.13546475
negative,40.6992418, -74.17884798
negative,28.62111274, -81.29294408
negative,40.69814396, -74.17906717
negative,39.85790482, -104.67039013
negative,39.85799572, -104.67056217
negative,51.72050559, 8.72711201
negative,29.7420124, -95.5606921
negative,40.6875448, -74.17714813
negative,19.43493094, -99.18877967
negative,29.7421541, -95.5600896
negative,41.97745295, -87.91025951
negative,41.97475934, -87.89040377
positive,51.322819, 5.3576218
negative,41.97474769, -87.89039148
negative,41.97758466, -87.91065356
negative,29.98788997, -95.34470061
negative,45.52146907, -122.69810485
negative,41.97495038, -87.89005988
negative,29.98877308, -95.33846478
negative,41.97883697, -87.90639116
neutral,45.67920767, -111.04847652
negative,41.97888728, -87.90617197
negative,33.64323551, -84.44248239
neutral,40.69450196, -74.1749219
negative,39.24541389, -106.88172648
positive,20.0615871, 110.18390431
negative,39.84911904, -104.67447584
negative,36.08161548, -115.14959772
neutral,27.9746606, -82.5320172
negative,45.67922537, -111.04823044
negative,45.67922693, -111.04839797
negative,45.67925887, -111.04844481
negative,45.67912434, -111.04847959
negative,29.98378319, -95.33473143
neutral,-38.0271635, 145.2112317
neutral,-38.0269936, 145.2110041
negative,33.94077727, -118.39921036
negative,29.9866693, -95.3382794
negative,36.08655568, -115.1394417
positive,41.92992293, -87.66944213
positive,41.97890473, -87.91027352
neutral,41.9763291, -87.73856403
positive,51.3228191, 5.3576225
negative,43.56768225, -116.22061173
positive,38.95201335, -77.44443882
positive,43.56764134, -116.22089932
negative,39.8586527, -104.6718518
negative,40.69672337, -74.17710665
negative,47.4390828, -122.300713
negative,47.4389994, -122.3010208
negative,39.85861469, -104.67233425
neutral,-37.8536992, 145.1106176
negative,39.8586566, -104.6718497
negative,39.8586593, -104.6718352
negative,39.85873319, -104.67372668
negative,37.83520596, -122.25460611
negative,29.98704632, -95.3378275
negative,29.98707518, -95.33783524
negative,41.97862209, -87.91469774
positive,41.97456785, -87.90563774
positive,25.79104444, -80.27338351
negative,39.99829207, -82.88085401
negative,39.99814659, -82.88058383
negative,38.94562938, -77.44400264
neutral,29.98872603, -95.3384666
negative,29.98870677, -95.33845443
negative,40.6941088, -74.17545854
negative,39.99806982, -82.88439575
neutral,22.31355693, 113.92636768
negative,37.61980156, -122.38447633
negative,33.94171725, -118.39844033
negative,34.99254864, -80.92841859
positive,37.61829369, -122.39192247
neutral,21.32911863, -157.91749165
negative,38.95801195, -77.44365722
negative,38.93770157, -77.4551004
negative,37.61839686, -122.38751
negative,37.61926072, -122.38812564
negative,38.95638224, -77.43898845
negative,35.07067492, -80.7899648
negative,43.60417384, -110.7362561
negative,39.85760174, -104.66669625
positive,26.07294988, -80.14147128
negative,35.00096266, -80.87374938
negative,35.00595547, -80.89437239
positive,19.43010575, -99.18988829
negative,19.41622708, -99.16143525
negative,37.61782989, -122.39172299
negative,37.61761896, -122.39164663
negative,40.72476892, -74.09204213
negative,18.47066766, -68.40014139
negative,38.94291482, -77.44870496
neutral,31.27777976, 121.59340615
negative,33.84438223, -116.5516582
negative,33.84445776, -116.55139365
negative,40.73074756, -73.95248962
negative,33.89611413, -84.33113356
negative,33.89638659, -84.33108377
negative,25.08347991, -77.3225763
neutral,42.3613256, -71.0167387
positive,39.74529398, -104.99225976
negative,18.47240961, -68.39941149
negative,18.4729405, -68.39820768
negative,18.47233225, -68.39941165
neutral,18.4710809, -68.39995916
negative,43.59688282, -72.96820686
negative,29.81532281, -95.40830048
positive,41.9413787, -87.8932425
positive,41.9808176, -87.9063373
positive,41.9809313, -87.9063148
negative,33.99585652, -117.35791469
positive,33.94238375, -118.39906416
positive,41.86591706, -87.6231238
negative,41.86590405, -87.62282728
negative,41.86589387, -87.62303178
negative,39.77848558, -104.90007634
negative,39.77390684, -104.84537303
negative,39.83426941, -104.69960636
negative,39.83426941, -104.69960636
negative,41.86591215, -87.6231126
negative,39.84913886, -104.67403666
negative,40.71857786, -73.99426076
negative,29.98498519, -95.3338971
negative,40.71518191, -73.99595593
negative,38.26810946, -82.12153441
positive,37.61476852, -122.40521688
negative,29.98384194, -95.33664018
neutral,40.64993239, -73.78249589
positive,49.73717309, -96.67646776
negative,29.98454639, -95.33856899
negative,41.9653255, -87.87535719
negative,37.78736562, -122.40865161
positive,33.63992689, -84.44705534
negative,33.64314381, -84.44252134
negative,42.37525611, -71.24042938
positive,43.68346133, -79.61394084
positive,45.58977875, -122.59182952
negative,28.34834331, -81.48581918
neutral,25.07815796, 55.13798672
negative,45.58986727, -122.59182577
negative,37.6202411, -122.3883092
neutral,25.0779704, 55.13808289
negative,25.07772121, 55.13822432
neutral,30.15481071, -95.43911291
negative,25.0776918, 55.13824067
positive,29.98445184, -95.33224657
negative,37.62025528, -122.38832698
negative,40.62387603, -74.30164717
neutral,37.78194753, -122.43412918
negative,37.62068265, -122.38816957
positive,40.7868699, -111.9790833
negative,40.69758992, -74.25047478
neutral,40.7697595, -111.974937
positive,33.82063563, -116.50768141
negative,37.78508121, -122.41114577
neutral,40.71288929, -74.16612474
negative,40.68612449, -74.18465897
negative,40.69522398, -74.1760931
neutral,37.6205514, -122.3867929
negative,40.69482181, -74.17458032
negative,37.6209902, -122.3867265
negative,37.6208766, -122.3867929
negative,40.6867848, -74.18351089
neutral,34.06143413, -118.39787418
neutral,38.21327338, -85.76378195
negative,38.94549594, -77.45193731
positive,40.77395906, -73.8746932
negative,37.63404103, -122.40313084
negative,39.99869322, -82.88004055
negative,37.99311597, -84.52114659
negative,37.99311597, -84.52114659
negative,39.99838284, -82.88068344
negative,35.23908248, -120.64078264
negative,35.23896405, -120.64046203
positive,40.71517211, -74.01453422
negative,37.61907, -122.38607
negative,37.61821986, -122.38745399
positive,35.8924655, -84.19243176
neutral,34.06979432, -117.57757056
neutral,13.71241507, 100.60468537
negative,34.06978184, -117.57752166
negative,34.06071437, -117.59814212
neutral,1.3523078, 103.8637764
negative,38.78438914, -104.72749614
neutral,-33.87144962, 151.20821275
negative,41.97826134, -87.91247425
neutral,35.21498347, -80.96071981
neutral,40.74389886, -74.12493599
positive,29.98425706, -95.34407392
negative,40.03395098, -105.24950187
neutral,41.98084325, -87.90939435
negative,33.5089001, -112.02901444
negative,38.94494175, -77.45367931
negative,41.98160558, -87.90496847
negative,39.85823091, -104.67802376
negative,29.97877958, -95.33246329
neutral,37.62006843, -122.38822083
negative,29.98605741, -90.25189405
negative,33.75357228, -116.36206155
negative,37.94357634, -121.69565906
negative,33.75538818, -116.36197002
negative,33.75536802, -116.36197857
negative,40.79971517, -74.25960937
negative,33.75539049, -116.36196163
negative,37.62063433, -122.38946673
negative,33.75539049, -116.36196163
negative,27.98622757, -82.5414547
negative,33.75348859, -116.36209633
negative,33.75348859, -116.36209633
positive,40.54989958, -111.90404484
negative,36.08651969, -115.13942786
negative,36.08652135, -115.13941959
positive,34.01019938, -117.42860927
negative,34.01352255, -117.44528297
negative,41.9797415, -87.9099894
negative,40.84018945, -73.93737649
positive,38.88839871, -94.62041633
neutral,42.04836196, -87.74130154
negative,40.69428253, -74.17219198
negative,40.69429232, -74.17208436
negative,37.61833841, -122.38389799
negative,37.61859126, -122.38385699
negative,45.58931882, -122.5959928
neutral,39.85861725, -104.67232956
neutral,39.85861339, -104.67232131
negative,26.37852293, -81.78472152
positive,39.85871934, -104.67371484
negative,40.70773298, -74.17069948
negative,40.70749747, -74.17084113
positive,40.35805521, -111.78241283
negative,37.62006843, -122.38822083
neutral,30.09009009, -95.64621813
negative,38.9058375, -77.00423674
negative,41.19758614, -73.76914167
negative,41.1974934, -73.76920486
positive,41.19747574, -73.76926201
negative,41.78546237, -87.7430551
negative,42.88502249, -85.52894527
negative,38.30097379, -122.30180037
negative,35.84808282, -78.66572751
positive,42.3667769, -71.0170733
negative,39.87778809, -75.23663363
neutral,39.64617884, -94.31618144
positive,37.6177248, -122.3913514
negative,37.6170841, -122.3877223
neutral,41.52066893, -81.21118788
positive,39.50503682, -119.77382751
negative,32.73154946, -117.19636508
negative,42.3427148, -71.5504243
negative,32.7156489, -117.1556388
positive,33.43403712, -111.99678364
negative,33.64079948, -84.4358346
positive,32.85744983, -97.03548311
positive,34.00646846, -118.48131246
positive,40.76352814, -111.89191896
negative,41.79410567, -87.74243312
positive,33.51750182, -101.90914558
positive,29.65283375, -95.275749
neutral,40.91509493, -81.4367726
negative,32.73284288, -117.19634507
negative,40.91497406, -81.43686526
positive,42.58417604, -83.1064707
neutral,42.58399752, -83.10630667
neutral,39.87875827, -75.23722854
negative,30.27027027, -97.74064527
positive,33.4338494, -111.9963312
negative,33.00605781, -96.76519155
negative,41.72810364, -71.43406677
positive,34.7300769, -92.219814
neutral,41.77838296, -87.7409109
negative,38.84884095, -77.04207298
positive,40.72845228, -80.08224442
negative,36.12665696, -86.66953068
negative,41.65451582, -70.61064187
negative,39.87638268, -75.23929034
negative,39.73217408, -105.0050626
negative,39.1848041, -76.6787131
neutral,28.44752379, -81.46716587
negative,39.1780768, -76.670155
negative,39.1766101, -76.6700606
negative,39.1766101, -76.6700606
negative,39.1765188, -76.6696894
neutral,39.1766716, -76.6694354
negative,42.19881665, -83.3859395
negative,39.1766628, -76.6694238
negative,39.1766573, -76.669424
negative,28.43278708, -81.46990923
negative,36.15093569, -115.27959887
negative,39.17692138, -76.66929304
negative,39.1799072, -76.6704455
neutral,39.1798687, -76.6707032
negative,39.1799094, -76.6709767
neutral,29.6526846, -95.2787367
negative,26.52778866, -81.75533052
positive,38.90385896, -76.51625101
neutral,30.26196639, -97.75945775
negative,41.81477378, -80.93644744
positive,33.6839241, -117.8607358
positive,30.30630631, -97.71394697
positive,40.77512287, -73.86982237
negative,41.30091858, -95.89873244
negative,41.30204773, -95.9002533
neutral,35.12084166, -89.84738331
negative,35.9807446, -115.0846183
neutral,40.2376266, -74.9171435
positive,41.78959656, -87.74028015
positive,38.73434659, -90.35501265
negative,40.731704, -73.1724805
negative,41.93001697, -72.68496357
negative,41.93015938, -72.68522399
negative,33.93454129, -118.40270098
negative,42.313473, -87.83530047
negative,33.1973379, -96.7573509
neutral,26.08232307, -80.16234879
positive,33.67698231, -117.8647932
negative,33.18882771, -96.64036423
negative,40.774588, -73.8708903
negative,37.78915629, -122.4148408
negative,36.08029523, -115.1466466
neutral,35.0557688, -78.9702049
negative,32.8405223, -96.8149248
neutral,32.80223908, -117.2312804
negative,39.29345234, -94.71996208
positive,36.0931536, -86.6973554
negative,36.1293776, -86.6699252
negative,30.20650347, -97.74889927
positive,34.0658388, -117.5711653
neutral,39.28859449, -76.61832385
neutral,41.24222981, -77.02647239
neutral,30.20654541, -97.74890436
negative,29.98473682, -90.25978334
negative,39.29372784, -94.71998281
negative,39.86311565, -104.67610845
positive,33.05776114, -96.78169517
positive,28.43585235, -81.30356273
positive,32.96225554, -96.80070994
negative,33.94729153, -118.40186744
negative,33.94729537, -118.40196951
negative,39.17709903, -76.67124539
positive,36.898315, -76.204491
positive,29.65275101, -95.27596615
negative,35.8271843, -87.43714049
neutral,27.9344812, -82.47401175
neutral,44.8741191, -93.22830677
positive,38.97681463, -76.50266928
neutral,40.4871427, -112.011264
positive,30.43823709, -97.76632883
negative,36.22640559, -86.82373437
negative,25.7661538, -80.2517994
negative,38.34274662, -122.32611925
neutral,41.28597403, -72.44456912
negative,36.11159761, -86.7844525
negative,40.71035967, -74.15721568
positive,39.73167173, -86.3559619
positive,36.14488928, -86.68739667
negative,29.65350715, -95.26679505
negative,33.42067535, -111.93155126
neutral,36.14487986, -86.68740641
negative,40.65954723, -74.16986421
negative,40.65958823, -74.16987822
negative,40.65951726, -74.16980326
negative,40.65947097, -74.16982402
negative,40.65957477, -74.17018971
positive,30.0554953, -95.1659332
positive,36.0212589, -86.5447783
negative,38.73693556, -90.35367062
positive,38.98057249, -76.73463232
positive,35.99558298, -78.89974547
negative,41.79493709, -71.48004413
negative,30.35571967, -87.27675562
neutral,38.56979708, -75.1096009
neutral,21.05483165, -86.78164351
neutral,40.70326657, -74.01106458
positive,34.02763089, -118.49627894
neutral,34.02761838, -118.49646336
positive,34.02764112, -118.49636416
negative,42.3658858, -71.01423374
neutral,33.8191302, -118.1455457
neutral,42.36005288, -71.06315559
neutral,40.76262466, -73.73946148
negative,40.76262285, -73.7394313
positive,41.21681145, -73.12508256
negative,51.54381448, -0.00116722
negative,34.09548421, -81.20955847
neutral,42.3427056, -71.5504108
positive,33.78310211, -84.21250227
positive,42.35829164, -71.06163025
positive,26.37067479, -80.10215823
positive,41.06865736, -73.70398273
neutral,40.64579177, -73.77555571
negative,41.06869526, -73.70402469
neutral,40.6467516, -73.77465033
negative,40.64646872, -73.77594979
negative,26.0713458, -80.146874
neutral,13.07761455, -59.60542973
negative,13.07787514, -59.6049865
positive,33.7008468, -118.0192094
neutral,40.64682076, -73.7823236
negative,40.64485766, -73.78737261
negative,42.36494288, -71.01451482
positive,40.89343356, -74.29961359
negative,40.85036847, -74.42575912
negative,40.775248, -74.48253909
neutral,40.77844416, -73.87477197
negative,40.64797296, -73.77939249
negative,40.64602261, -73.7762935
neutral,40.61883222, -74.015404
negative,40.61884429, -74.0153922
negative,40.61878764, -74.01544319
negative,40.61886457, -74.01535789
neutral,40.79874419, -73.82756667
negative,40.6466862, -73.7769539
negative,42.40805407, -88.62699707
negative,40.7740308, -73.8674526
positive,4.69840554, -74.14134323
negative,32.73346632, -117.20410937
negative,40.64646912, -73.79133606
positive,38.6485933, -121.11740707
negative,40.64646912, -73.79133606
negative,40.64646912, -73.79133606
positive,38.69255098, -121.58854512
neutral,25.05152514, -77.46620117
positive,34.546788, -87.012305
negative,40.65275545, -73.79457024
negative,40.64779984, -73.78283404
neutral,42.36726898, -71.01512871
negative,18.43615031, -66.00573829
positive,40.67851205, -73.43465391
positive,41.05811177, -73.53637216
negative,40.64573089, -73.77655727
positive,28.42301907, -81.29654204
negative,40.64342444, -111.49392569
negative,40.64339686, -111.49337274
neutral,40.88529232, -73.856635
negative,40.88539964, -73.85658056
positive,40.7171667, -73.96415608
neutral,40.71716644, -73.96426215
neutral,43.3230125, -73.64314219
neutral,33.8117407, -118.1628
positive,26.07159064, -80.14770942
negative,40.64530946, -73.77617682
negative,40.64534568, -73.77609616
negative,40.64531687, -73.77617765
negative,40.64529157, -73.7761025
neutral,37.40321679, -121.96988433
neutral,38.91355311, -77.04169657
positive,40.79248745, -111.98778056
neutral,40.64638899, -73.78399051
negative,40.64656067, -73.78334045
negative,40.64656067, -73.78334045
negative,40.64656067, -73.78334045
negative,40.64656067, -73.78334045
negative,40.64656067, -73.78334045
positive,40.64661043, -73.776003
negative,40.64719984, -73.77530956
negative,40.64679403, -73.77516598
neutral,40.64679903, -73.7734517
negative,40.64374009, -73.77678134
negative,40.64490372, -73.77508276
positive,42.36834942, -71.0152744
negative,42.36833796, -71.01525742
negative,40.63817554, -73.95630614
negative,38.87982914, -77.11608667
negative,33.81346953, -117.91426571
neutral,33.81391813, -117.92216895
positive,40.64610291, -73.78666687
negative,40.64527675, -73.7761654
negative,40.64527481, -73.77615604
negative,40.51809311, -74.48552378
negative,40.51806327, -74.48518231
neutral,40.51270596, -74.48509319
negative,40.64518126, -73.77582926
negative,40.51794328, -74.48516831
negative,40.64520088, -73.77587636
negative,40.77471899, -73.86957658
neutral,46.14149629, -122.90609053
negative,40.77460155, -73.86969694
negative,41.71826065, -72.68689133
positive,28.4261453, -81.2998841
positive,18.22245647, -63.00369733
positive,18.22245647, -63.00369733
positive,18.22245747, -63.00369895
negative,32.73130971, -117.20222555
negative,18.44643543, -66.28345755
negative,18.4465457, -66.28316651
negative,32.99815682, -117.17405196
negative,42.36604659, -71.01573889
neutral,40.64784472, -73.77710687
negative,40.64656067, -73.78334045
neutral,46.16798631, -122.96616783
neutral,46.16788404, -122.96673513
positive,40.78521842, -74.07232899
positive,32.07301184, -81.09362691
negative,35.21979387, -80.94498281
positive,33.43720156, -111.99928786
negative,40.6954621, -74.1733106
negative,29.99135326, -95.52122091
negative,29.99653598, -95.53874781
positive,35.22177192, -80.92309308
neutral,38.95804042, -77.26190063
neutral,39.87010428, -75.2507858
negative,42.2822248, -71.0378408
negative,33.43588637, -111.99965664
negative,33.43824974, -111.99987573
negative,33.43790009, -111.99746652
negative,35.21843964, -80.94253029
negative,39.8805621, -75.23893393
negative,39.88116058, -75.24031037
negative,39.88024969, -75.2363937
neutral,33.6424884, -84.4325976
negative,21.15194085, -86.82443877
negative,40.49569523, -80.24513477
negative,36.11203645, -115.17712729
negative,33.80598632, -118.36571615
negative,38.86411798, -77.0231684
negative,32.43487013, -80.64150369
negative,33.54774386, -86.75224256
negative,39.8749399, -75.2407937
negative,39.8749366, -75.2407972
negative,21.15192481, -86.82441431
negative,39.8749922, -75.24017448
negative,39.87455718, -75.24082121
negative,42.36184505, -71.02219492
negative,43.19825137, -70.87335749
negative,43.19830037, -70.87348793
negative,43.19824341, -70.8733423
negative,43.19872113, -70.87307422
negative,42.74561865, -73.80942844
neutral,35.87642273, -78.79274566
negative,35.87648539, -78.79266577
neutral,33.50528024, -86.81047219
negative,40.85214382, -73.28567395
negative,39.98272482, -86.22502919
negative,37.78831231, -122.41007318
negative,35.22358885, -80.95061712
negative,35.21905941, -80.9426995
negative,40.04903686, -75.1035816
negative,39.87309176, -75.24413798
negative,38.92102632, -76.9969392
negative,39.52438256, -74.70144898
negative,36.24269903, -86.10760197
negative,25.7789761, -80.1353923
negative,25.7789509, -80.1353866
negative,39.05365524, -84.65487604
negative,39.25956567, -76.70131545
negative,39.87631844, -75.24302471
negative,43.74167873, -79.3442243
negative,34.00912984, -84.37154603
negative,39.87355987, -75.24730884
negative,39.87414824, -75.25238981
negative,39.87414053, -75.25236332
negative,40.04893741, -75.10344598
negative,39.87372068, -75.24732898
negative,35.2190054, -80.9427282
negative,35.2191669, -80.9435256
negative,40.04915451, -75.10364317
negative,41.49092099, -81.71644934
negative,33.43629607, -111.99894068
negative,41.49090693, -81.71627307
positive,41.72221977, -71.44574004
negative,41.46454996, -81.70961875
negative,41.46460532, -81.70957793
positive,39.94624391, -75.17915216
negative,39.90000449, -75.20693516
negative,35.2238122, -80.9435393
negative,34.16721397, -118.3453091
negative,38.85580899, -77.04174148
negative,38.90321224, -76.99583548
neutral,39.9692473, -75.1346431
negative,38.18285051, -85.74225293
neutral,42.201792, -88.3376974
negative,42.2017895, -88.337723
negative,35.22257093, -80.93941664
negative,34.16721627, -118.34537339
negative,40.77265898, -73.86525922
negative,51.4713252, -0.4674035
negative,35.2203248, -80.94508344
negative,38.86402742, -77.04855865
negative,38.86432211, -77.04913451
negative,39.8816419, -75.2475867
negative,39.8744048, -75.24235009
negative,29.99562368, -90.24376862
neutral,42.95012208, -87.90085158
positive,42.95119138, -87.90117857
negative,29.98442078, -90.25340271
negative,29.99894707, -90.27229299
negative,29.98730979, -90.25605983
negative,40.74609464, -74.00636235
positive,35.2204278, -80.94281752
neutral,33.79727578, -117.85043081
positive,35.22209167, -80.95237732
negative,35.22476994, -80.93932077
negative,35.22447828, -80.93940943
negative,35.22604872, -80.93863381
positive,35.22123472, -80.93287633
positive,35.21820752, -80.94527061
negative,35.210373, -80.9538682
negative,41.15955496, -81.39767448
negative,41.16013713, -81.39768211
positive,41.16012493, -81.39760735
negative,30.44405028, -84.23614305
negative,30.44414315, -84.23627649
negative,35.23185283, -80.96487203
negative,43.0460116, -84.4795683
negative,43.0460003, -84.4794566
negative,35.22287836, -80.94056653
negative,36.1036159, -115.16564
negative,35.22363719, -80.94045544
negative,35.22347122, -80.94043272
positive,27.96879606, -82.55192621
negative,25.8801693, -80.14141202
negative,35.22032317, -80.94508353
negative,38.8639627, -77.0436015
negative,38.8687568, -77.035652
positive,36.08576903, -115.14953095
negative,40.6488643, -73.7944749
negative,35.20346242, -80.92218024
positive,36.08584875, -115.14968355
negative,35.22643463, -80.93879965
positive,37.78618135, -122.45742542
neutral,32.82813261, -97.25115941
negative,40.69017276, -73.91646118
negative,40.68994668, -73.91637642
negative,40.69002464, -73.91638072
negative,40.68996177, -73.91640136
negative,34.0213466, -118.45229268
negative,35.22643463, -80.93879965
positive,37.78618135, -122.45742542
neutral,32.82813261, -97.25115941
negative,40.69017276, -73.91646118
negative,40.68994668, -73.91637642
negative,40.69002464, -73.91638072
negative,40.68996177, -73.91640136
negative,32.8968169, -97.0618222
neutral,28.02034806, -82.52234293
negative,40.78476286, -73.97029561
negative,27.97575376, -82.53714356
positive,41.06938783, -73.73394372
negative,27.97628758, -82.53727303
negative,39.29951964, -94.71192112
neutral,39.29381252, -94.71144036
positive,33.8143379, -116.53572408
negative,39.29275067, -94.70795218
negative,42.18424338, -70.92464087
negative,42.16481023, -70.88929237
negative,30.32398902, -97.71081198
neutral,32.91792297, -97.00367737
negative,32.91792297, -97.00367737
negative,32.91792297, -97.00367737
negative,42.01578804, -87.68332344
positive,32.89959729, -97.03558888
negative,40.7786084, -73.94979947
negative,41.98051682, -87.73798602
negative,40.77382001, -73.87315003
neutral,39.8893997, -75.219676
positive,32.9176348, -97.0163282
positive,41.99335821, -87.91260807
negative,32.92215312, -96.97563515
negative,47.6171292, -122.2803409
negative,41.95627333, -87.87860345
negative,41.45858699, -81.86780822
negative,41.45856783, -81.86763782
negative,41.45862827, -81.86766456
negative,25.79667815, -80.28050395
negative,41.45875201, -81.86775899
negative,36.29164025, -94.11796975
negative,35.87658269, -78.79254351
negative,41.45847861, -81.86764536
negative,41.97367122, -87.89700781
negative,35.17267919, -89.77001941
negative,35.17282894, -89.76988366
negative,35.17266822, -89.76993377
negative,35.1728241, -89.76989935
negative,35.17263842, -89.769988
negative,35.17279513, -89.76980671
negative,41.97417744, -87.9004223
positive,39.57991628, -105.94147157
negative,31.93684422, -102.20753682
negative,32.90431463, -97.03489789
neutral,34.02153389, -118.45231518
positive,33.66642719, -117.88328444
negative,35.46005368, -80.68267946
negative,32.90425138, -97.02805207
negative,34.0213466, -118.45229268
negative,40.68625909, -74.17970876
negative,39.60778027, -105.95470209
neutral,39.91337753, -75.3408263
negative,34.02389944, -118.45541773
negative,33.43417698, -111.99680158
neutral,30.441566, -84.281745
neutral,39.91370182, -75.3405344
negative,34.09822952, -118.34307851
positive,41.97629096, -87.89888444
negative,52.51012486, -2.98098622
negative,52.51012488, -2.98098624
negative,28.35144756, -81.54358392
negative,52.51012533, -2.98099904
negative,32.78951797, -96.79891462
negative,39.60813937, -105.9548521
neutral,10.42269832, -75.54540857
negative,34.10971017, -118.32188864
negative,34.10909961, -118.32361693
negative,52.51022081, -2.98091961
negative,33.43064352, -112.04521474
negative,37.93712278, -107.81800496
negative,41.97326595, -87.90025691
negative,37.77414482, -122.43628588
negative,37.93644673, -107.81832713
negative,37.93609081, -107.81826687
negative,37.93885695, -107.82069276
neutral,37.93882337, -107.82065521
negative,37.93663309, -107.81820588
negative,44.98157837, -93.23592187
negative,33.9424707, -118.4066671
negative,33.9424834, -118.4066885
negative,33.9424824, -118.4066757
negative,51.44284934, -0.13973305
negative,35.09721018, -89.89624696
negative,33.9424793, -118.4066936
negative,32.79397552, -96.80477419
negative,32.79401294, -96.80478711
negative,51.44283789, -0.13974112
negative,33.55192892, -112.07392397
negative,42.205996, -83.35487329
negative,47.62581201, -122.3501506
negative,25.8058716, -80.1255332
neutral,27.69523415, -97.34856142
negative,27.69540747, -97.34836874
negative,51.44275382, -0.13962939
positive,40.62967208, -73.90433402
neutral,25.79729334, -80.28082058
negative,33.40901961, -111.90976239
neutral,33.5333555, -112.1827159
positive,35.2376587, -80.92256446
negative,40.67072447, -73.97727422
positive,24.55401318, -81.80300774
positive,33.94207019, -118.39427775
negative,30.0555099, -95.165959
negative,43.6950263, -79.3457844
negative,21.32879526, -157.91846558
negative,25.7977857, -80.2809721
neutral,30.2772503, -81.38732586
negative,32.89840957, -97.04456259
negative,32.89873575, -97.04452633
positive,30.33730037, -97.74637026
negative,39.85437802, -104.67127565
negative,40.64859599, -73.79426922
negative,25.79939784, -80.27038889
neutral,35.23776431, -80.92233988
negative,32.89772724, -97.03561645
positive,41.9774863, -87.90414419
negative,25.8058675, -80.1260541
negative,25.8058666, -80.126062
negative,25.8058656, -80.1260481
negative,35.23770686, -80.92243302
positive,33.93871373, -118.40746172
negative,34.02109254, -118.50287086
negative,35.20493157, -80.92540817
negative,34.02148779, -118.50289643
negative,40.64931132, -73.79263138
negative,40.64935461, -73.79198785
negative,35.2176668, -80.9426912
negative,32.9272165, -97.0396313
negative,38.83598483, -77.10864801
negative,40.46694635, -82.64579149
negative,40.65062011, -73.79171323
positive,35.87912533, -78.79162128
negative,40.64824535, -73.80141955
negative,32.9760867, -96.53332214
positive,25.79101279, -80.28861743
negative,15.1659317, 120.5830548
negative,38.85482856, -77.04128223
negative,47.24879409, -122.43874458
positive,40.6474324, -73.7936881
negative,32.97609561, -96.53349238
positive,40.68621427, -74.1793971
positive,44.26313964, -69.78197616
negative,40.80718573, -73.95477259
negative,38.5369071, -106.9349375
negative,38.538038, -106.9370467
negative,33.64199395, -84.44238523
negative,32.90771571, -97.04233322
negative,33.93939612, -118.38973148
negative,35.22534456, -106.57241352
negative,40.46692522, -82.64567078
negative,32.9070889, -97.03785947
positive,40.64946781, -73.76624703
